date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
01-25-2020,3,0,0,3,0,0
01-26-2020,4,0,0,1,0,0
01-27-2020,4,0,0,0,0,0
01-28-2020,7,0,0,3,0,0
01-29-2020,7,0,0,0,0,0
01-30-2020,8,0,0,1,0,0
01-31-2020,8,0,0,0,0,0
02-01-2020,8,0,0,0,0,0
02-02-2020,8,0,0,0,0,0
02-03-2020,8,0,0,0,0,0
02-04-2020,10,0,0,2,0,0
02-05-2020,12,0,0,2,0,0
02-06-2020,12,0,0,0,0,0
02-07-2020,12,0,1,0,0,1
02-08-2020,16,0,1,4,0,0
02-09-2020,18,0,1,2,0,0
02-10-2020,18,0,1,0,0,0
02-11-2020,18,0,3,0,0,2
02-12-2020,18,0,3,0,0,0
02-13-2020,19,0,3,1,0,0
02-14-2020,19,0,3,0,0,0
02-15-2020,22,0,7,3,0,4
02-16-2020,22,0,7,0,0,0
02-17-2020,22,0,9,0,0,2
02-18-2020,22,0,9,0,0,0
02-19-2020,22,0,15,0,0,6
02-20-2020,22,0,15,0,0,0
02-21-2020,22,0,15,0,0,0
02-22-2020,22,0,15,0,0,0
02-23-2020,22,0,15,0,0,0
02-24-2020,22,0,15,0,0,0
02-25-2020,22,0,15,0,0,0
02-26-2020,22,0,15,0,0,0
02-27-2020,23,0,15,1,0,0
02-28-2020,25,0,15,2,0,0
02-29-2020,25,0,21,0,0,6
03-01-2020,29,0,21,4,0,0
03-02-2020,29,0,21,0,0,0
03-03-2020,36,0,21,7,0,0
03-04-2020,50,0,21,14,0,0
03-05-2020,50,0,21,0,0,0
03-06-2020,83,0,23,33,0,2
03-07-2020,93,0,23,10,0,0
03-08-2020,99,0,24,6,0,1
03-09-2020,117,0,24,18,0,0
03-10-2020,129,0,24,12,0,0
03-11-2020,149,0,26,20,0,2
03-12-2020,158,0,32,9,0,6
03-13-2020,197,0,26,39,0,-6
03-14-2020,238,0,35,41,0,9
03-15-2020,428,0,42,190,0,7
03-16-2020,566,0,42,138,0,0
03-17-2020,673,2,49,107,2,7
03-18-2020,790,2,60,117,0,11
03-19-2020,900,2,75,110,0,15
03-20-2020,1030,3,87,130,1,12
03-21-2020,1183,4,114,153,1,27
03-22-2020,1306,10,139,123,6,25
